时间,会话ID,问题,回答,回答长度,来源数量,用户反馈,响应时间(ms),是否成功
2026-02-19 22:22:18,828a2f47-dee7-43bf-933d-a10d28899b92,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据奖学金类型准备对应材料： 一、国家奖学金（10000元/人，2025年秋季学期，64人） 1. 申请条件：成绩和综合测评排名靠前，学校及省里差额评选。 2. 材料清单：初审名单表、申请审批表、成绩单、获奖证书扫描件、评审委员会名单及公示材料等。 3. 报送时间：9月25日前提交电子版和纸质版至学工部。 二、省政府奖学金（6000元/人，2025年...,606,1,,39,True
2026-02-19 23:00:59,29f136f5-a464-4905-8636-358362732091,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据不同类型准备对应材料： 一、国家奖学金（10000元/人） 一）申请条件 学校差额评选，报送省里再次差额评选 二）材料清单 一）获奖学生初审名单表（电子版和纸质版，纸质版打印时隐藏蓝色区域，加盖学院公章） 二）申请审批表（WORD需提供电子版和纸质版，加盖学院公章，所有签名必须手签；EXCEL只需电子版） 三）2024-2025学年国家奖学金候选...,1019,1,,451,True
2026-02-19 23:08:58,52ae8a2d-7648-4b7d-b3e6-f2d16a186417,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据奖学金类型准备对应材料： 一、国家奖学金（10000元/人，2025年秋季学期） 1. 评选范围：全日制大二年级及以上本科学生，学校差额评选后报送省里二次差额评选。 2. 材料清单： (1) 获奖学生初审名单表（电子+纸质，加盖学院公章） (2) 申请审批表（WORD电子版+纸质版需手签，EXCEL电子版） (3) 2024-2025学年成绩单（...,1018,1,,95,True
2026-02-20 11:45:08,d961e417-951d-4edf-aef5-940e8a1fa0cc,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据奖学金类型准备对应材料： 一、国家奖学金（10000元/人，2025年秋季学期） 1. 评选范围：全日制大二及以上本科学生，学校差额评选后报送省里二次差额评选 2. 核心材料： - 获奖证书（校级及以上奖项）扫描件及复印件 - 成绩单（教育在线下载自带教务部公章） - 申请审批表（需手签签名，加盖学院公章） 3. 报送时间：9月25日前提交电子版...,792,1,,692,True
2026-02-20 14:51:38,7d1f7262-c064-4bf5-843a-845da553fe1a,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，你可以根据申请类型对号入座： 一、国家奖学金（10000元/人） 申请时间：2025年秋季学期（9月25日前报送材料） 申请条件：成绩和综合测评排名前64名（学校差额评选后报省里二次差额评选） 核心材料：获奖证书扫描件、成绩单、申请审批表（需手签）、学院评审公示材料^^ 二、省政府奖学金（6000元/人） 申请时间：2025年秋季学期（11月前报送材料...,695,1,,287,True
2026-02-20 14:53:06,7d1f7262-c064-4bf5-843a-845da553fe1a,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，你可以根据申请类型对号入座： 一、国家奖学金（10000元/人） 申请时间：2025年秋季学期（9月25日前报送材料） 申请条件：成绩和综合测评排名前64名（学校差额评选后报省里二次差额评选） 核心材料：获奖证书扫描件、成绩单、申请审批表（需手签）、学院评审公示材料^^ 二、省政府奖学金（6000元/人） 申请时间：2025年秋季学期（11月前报送材料...,695,1,like,730,True
2026-02-20 14:54:36,9a383e14-5f2a-4aee-9ed4-8c3be5cf4047,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据奖学金类型准备对应材料： 一、国家奖学金（10000元/人，2025年秋季学期） 1. 评选范围：全日制大二及以上本科学生，学校差额评选后报送省里二次差额评选 2. 核心材料： - 获奖证书（校级及以上奖项）扫描件及复印件 - 学生成绩单（自带教务部公章）、综合测评排名表 - 初审名单表、申请审批表（需手签）、评审委员会名单及公示材料 3. 报送...,840,1,,714,True
2026-02-20 15:04:39,98d204c4-8c5f-425d-a083-c1789feb396f,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据不同类型准备对应材料： 一、国家奖学金（10000元/人，2025年秋季学期） 1. 申请条件：成绩排名前30%，无挂科违纪，通过学校差额评选后报送省里二次评选 2. 材料清单： - 获奖证书扫描件（校级及以上） - 成绩单（教务部盖章） - 申请审批表（需手签） - 学院评审委员会公示材料 3. 报送时间：9月25日前提交至shanyidazz...,763,1,,920,True
2026-02-20 15:18:13,bfcac6e0-735e-4d55-b10a-936dd192d37a,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请需根据不同类型准备，以下是具体申请要点： 一、国家奖学金 金额：10000元 发放时间：2025年秋季学期 申请条件：学校差额评选后报送省里再次差额评选 申请材料：获奖学生初审名单表、申请审批表、学年国家奖学金候选人情况统计表、学生成绩单、获奖证书等 报送时间：9月25日前 二、省政府奖学金 金额：6000元 发放时间：2025年秋季学期 申请条件：学校差额评选...,693,1,,78,True
2026-02-20 15:25:33,5258ddad-7b62-4cc9-92f2-c447b82ac7c2,奖学金怎么申请,同学你好，很高兴为你解答！奖学金申请要点如下，请根据奖学金类型准备对应材料： 一、国家奖学金（10000元/人，2025年秋季学期评选） 1. 申请条件：成绩排名前30%，无挂科违纪，通过学校和省里差额评选。 2. 材料清单： (1) 获奖学生初审名单表（电子+纸质版，加盖学院公章） (2) 申请审批表（WORD电子版+纸质版，所有签名需手签） (3) 2024-2025学年成绩单（自带教务部公章...,901,1,,556,True
